S.No,Word,Split,Type
2.32.3,युद्धमीदृशम्,युद्धम् ईदृशम्,consonant
2.32.2,चोपपन्नंस्वर्गद्वारमपावृतम्,च उपपन्नम् स्वर्गद्वारम् अप आवृतम्,consonant
2.32.1,यदृच्छया,यत् ऋच्छया,consonant
2.33.3,पापमवाप्स्यसि,पापम् अवाप्स्यसि,consonant
2.33.2,स्वधर्मङ्कीर्तिञ्च,स्वधर्मम् कीर्तिम् च,consonant
2.33.1,चेत्त्वमिमन्धर्म्यंसङ्ग्रामन्न,चेत् त्वम् इमम् धर्म्यम् सम् ग्रामम् न,consonant
2.34.3,चाकीर्तिर्मरणादतिरिच्यते,च अकीर्तिः मरणात् अतिरिच्यते,consonant
2.34.2,तेऽव्ययाम्,ते अव्ययाम्,vowel
2.34.1,अकीर्तिञ्चापि,अकीर्तिम् च अपि,consonant
2.35.4,त्वंबहुमतोभूत्वा,त्वम् बहुमतः भूत्वा,consonant
2.35.3,येषाञ्च,येषाम् च,consonant
2.35.2,त्वांमहारथाः,त्वाम् महारथाः,consonant
2.35.1,भयाद्रणादुपरतम्मंस्यन्ते,भयात् रणात् उपरतम् मंस्यन्ते,consonant
2.36.5,सामर्थ्यन्ततोदुःखतरन्नु,सामर्थ्यम् ततः दुःखतरम् नु,consonant
2.36.4,निन्दन्तस्तव,निन्दन्तः तव,visarga
2.36.3,तवाहिताः,तव अहिताः,vowel
2.36.2,बहून्वदिष्यन्ति,बहून् वदिष्यन्ति,consonant
2.36.1,अवाच्यवादांश्च,अवाच्यवादान् च,consonant
2.37.3,तस्मादुत्तिष्ठ,तस्मात् उत्तिष्ठ,consonant
2.37.2,स्वर्गञ्जित्वा,स्वर्गम् जित्वा,consonant
2.37.1,हतोवा,हतः वा,visarga
2.38.4,नैवंपापमवाप्स्यसि,न एवम् पापम् अवाप्स्यसि,consonant
2.38.3,ततोयुद्धाय,ततः युद्धाय,visarga
2.38.2,जयाजयौ,जय अजयौ,vowel
2.38.1,लाभालाभौ,लाभ अलाभौ,vowel
2.39.4,कर्मबन्धंप्रहास्यसि,कर्मबन्धम् प्रहास्यसि,consonant
2.39.3,युक्तोयया,युक्तः यया,visarga
2.39.2,त्विमांश्रृणु,तु इमाम् श्रृणु,consonant
2.39.1,बुद्धिर्योगे,बुद्धिः योगे,visarga
2.40.4,महतोभयात्,महतः भयात्,visarga
2.40.3,स्वल्पमप्यस्य,स्वल्पम् अपि अस्य,consonant
2.40.2,प्रत्यवायोन,प्रत्यवायः न,visarga
2.40.1,नेहाभिक्रमनाशोऽस्ति,न इह अभिक्रमनाशः अस्ति,consonant
2.41.4,बुद्धयोऽव्यवसायिनाम्,बुद्धयः अव्यवसायिनाम्,visarga
2.41.3,ह्यनन्ताश्च,हि अनन्ताः च,consonant
2.41.2,बुद्धिरेकेह,बुद्धिः एक इह,consonant
2.41.1,व्यवसायात्मिका,व्यवसाय आत्मिका,vowel
2.42.2,नान्यदस्तीति,न अन्यत् अस्ति इति,consonant
2.42.1,यामिमाम्पुष्पितांवाचम्प्रवदन्त्यविपश्चितः,याम् इमाम् पुष्पिताम् वाचम् प्रवदन्ति अविपश्चितः,consonant
2.43.2,क्रियाविशेषबहुलाम्भोगैश्वर्यगतिम्प्रति,क्रियाविशेषबहुलाम् भोग ऐश्वर्यगतिम् प्रति,consonant
2.43.1,कामात्मानः,काम आत्मानः,vowel
2.44.2,व्यवसायात्मिका,व्यवसाय आत्मिका,vowel
2.44.1,भोगैश्वर्यप्रसक्तानान्तयापहृतचेतसाम्,भोग ऐश्वर्यप्रसक्तानाम् तया अपहृतचेतसाम्,consonant
2.45.2,निर्द्वन्द्वोनित्यसत्त्वस्थोनिर्योगेक्षेम,निः द्वन्द्वः नित्यसत्त्वस्थः निः योगे क्षेम,consonant
2.45.1,वेदानिस्त्रैगुण्योभवार्जुन,वेदाः निः त्रैगुण्यः भव अर्जुन,consonant
2.46.3,तावान्सर्वेषु,तावान् सर्वेषु,consonant
2.46.2,सम्प्लुतोदके,सम् प्लुत उदके,consonant
2.46.1,यावानर्थ,यावान् अर्थ,consonant
2.47.3,सङ्गोऽस्त्वकर्मणि,सङ्गः अस्तु अकर्मणि,consonant
2.47.2,कर्मफलहेतुर्भूर्मा,कर्मफलहेतुः भूः मा,consonant
2.47.1,कर्मण्येवाधिकारस्ते,कर्मणि एव अधिकारः ते,consonant
2.48.5,समत्वंयोगउच्यते,समत्वम् योगः उच्यते,consonant
2.48.4,समोभूत्वा,समः भूत्वा,visarga
2.48.3,सिद्ध्यसिद्ध्योः,सिद्धि असिद्ध्योः,vowel
2.48.2,धनञ्जय,धनम् जय,consonant
2.48.1,सङ्गंत्यक्त्वा,सङ्गम् त्यक्त्वा,consonant
2.49.3,शरणमन्विच्छ,शरणम् अनु इच्छ,consonant
2.49.2,बुद्धियोगाद्धनञ्जय,बुद्धियोगात् धनम् जय,consonant
2.49.1,ह्यवरंकर्म,हि अवरम् कर्म,consonant
2.50.2,तस्माद्योगाय,तस्मात् योगाय,consonant
2.50.1,बुद्धियुक्तोजहातीह,बुद्धियुक्तः जहाति इह,consonant
2.51.4,पदङ्गच्छन्त्यनामयम्,पदम् गच्छन्ति अन् आमयम्,consonant
2.51.3,जन्मबन्धविनिर्मुक्ताः,जन्मबन्ध विनिर्मुक्ताः,consonant
2.51.2,फलंत्यक्त्वा,फलम् त्यक्त्वा,consonant
2.51.1,कर्मजम्बुद्धियुक्ताहि,कर्मजम् बुद्धियुक्ताः हि,consonant
2.52.3,निर्वेदंश्रोतव्यस्य,निः वेदम् श्रोतव्यस्य,consonant
2.52.2,गन्तासि,गन्तासि,consonant
2.52.1,मोहकलिलंबुद्धिर्व्यतितरिष्यति,मोहकलिलम् बुद्धिः वि अतितरिष्यति,consonant
2.53.4,योगमवाप्स्यसि,योगम् अवाप्स्यसि,consonant
2.53.3,बुद्धिस्तदा,बुद्धिः तदा,visarga
2.53.2,समाधावचला,समाधौ अचला,vowel
2.53.1,निश्चला,निः चला,visarga
2.54.3,किमासीत,किम् आसीत,consonant
2.54.2,किम्प्रभाषेत,किम् प्रभाषेत,consonant
2.54.1,अर्जुनउवाच,अर्जुनः उवाच,visarga
2.55.5,स्थितप्रज्ञस्तदोच्यते,स्थितप्रज्ञः तदा उच्यते,consonant
2.55.4,आत्मन्येवात्मना,आत्मनि एव आत्मना,vowel
2.55.2,कामान्सर्वान्पार्थ,कामान् सर्वान् पार्थ,consonant
2.55.1,श्रीभगवानुवाच,श्रीभगवान् उवाच,consonant
2.56.2,स्थितधीर्मुनिरुच्यते,स्थितधीः मुनिः उच्यते,consonant
2.56.1,दुःखेष्वनुद्विग्नमनाः,दुःखेषु अनुद्विग्नमनाः,consonant
2.57.4,प्रतिष्ठिता,प्रति स्थिता,consonant
2.57.3,नाभिनन्दति,न अभिनन्दति,vowel
2.57.2,शुभाशुभम्,शुभ अशुभम्,vowel
2.57.1,सर्वत्रानभिस्नेहस्तत्तत्प्राप्य,सर्वत्र अनभिस्नेहः तत् तत् प्राप्य,consonant
2.58.3,प्रतिष्ठिता,प्रति स्थिता,consonant
2.58.2,इन्द्रियाणीन्द्रियार्थेभ्यस्तस्य,इन्द्रियाणि इन्द्रिय अर्थेभ्यः तस्य,consonant
2.58.1,चायंकूर्मोऽङ्गानीव,च अयम् कूर्मः अङ्गानि इव,consonant
2.59.3,परन्दृष्ट्वा,परम् दृष्ट्वा,consonant
2.59.2,रसोऽप्यस्य,रसः अपि अस्य,consonant
2.59.1,निराहारस्य,निः आहारस्य,visarga
2.60.2,प्रसभंमनः,प्रसभम् मनः,consonant
2.60.1,यततोह्यपि,यततः हि अपि,consonant
2.61.3,प्रतिष्ठिता,प्रति स्थिता,consonant
2.61.2,यस्येन्द्रियाणि,यस्य इन्द्रियाणि,vowel
2.61.1,मत्परः,मत् परः,consonant
2.62.4,कामात्क्रोधोऽभिजायते,कामात् क्रोधः अभिजायते,consonant
2.62.3,सङ्गात्सञ्जायते,सङ्गात् सञ्जायते,consonant
2.62.2,सङ्गस्तेषूपजायते,सङ्गः तेषु उपजायते,consonant
2.62.1,ध्यायतोविषयान्पुंसः,ध्यायतः विषयान् पुंसः,consonant
2.63.3,स्मृतिभ्रंशाद्बुद्धिनाशोबुद्धिनाशात्प्रणश्यति,स्मृतिभ्रंशात् बुद्धिनाशः बुद्धिनाशात् प्रणश्यति,consonant
2.63.2,सम्मोहात्स्मृतिविभ्रमः,सम्मोहात् स्मृतिविभ्रमः,consonant
2.63.1,क्रोधाद्भवति,क्रोधात् भवति,consonant
2.64.4,प्रसादमधिगच्छति,प्रसादम् अधिगच्छति,consonant
2.64.3,आत्मवश्यैर्विधेयात्मा,आत्मवश्यैः विधेय आत्मा,consonant
2.64.2,विषयानिन्द्रियैश्चरन्,विषयान् इन्द्रियैः चरन्,consonant
2.64.1,रागद्वेषवियुक्तैस्तु,रागद्वेषवियुक्तैः तु,consonant
2.65.3,पर्यवतिष्ठते,परि अवतिष्ठते,vowel
2.65.2,प्रसन्नचेतसोह्याशु,प्रसन्नचेतसः हि आशु,consonant
2.65.1,सर्वदुःखानांहानिरस्योपजायते,सर्वदुःखानाम् हानिः अस्य उपजायते,consonant
2.66.5,शान्तिरशान्तस्य,शान्तिः अशान्तस्य,visarga
2.66.4,चाभावयतः,च अभावयतः,vowel
2.66.3,चायुक्तस्य,च अयुक्तस्य,vowel
2.66.2,बुद्धिरयुक्तस्य,बुद्धिः अयुक्तस्य,visarga
2.66.1,नास्ति,न अस्ति,vowel
2.67.4,प्रज्ञांवायुर्नावमिवाम्भसि,प्रज्ञाम् वायुः नावम् इव अम्भसि,consonant
2.67.3,तदस्य,तत् अस्य,consonant
2.67.2,चरतांयन्मनोऽनुविधीयते,चरताम् यत् मनः अनुविधीयते,consonant
2.67.1,इन्द्रियाणांहि,इन्द्रियाणाम् हि,consonant
2.68.4,प्रतिष्ठिता,प्रति स्थिता,consonant
2.68.3,इन्द्रियाणीन्द्रियार्थेभ्यस्तस्य,इन्द्रियाणि इन्द्रिय अर्थेभ्यः तस्य,consonant
2.68.2,महाबाहोनिगृहीतानि,महाबाहः निगृहीतानि,consonant
2.68.1,तस्माद्यस्य,तस्मात् यस्य,consonant
2.69.3,पश्यतोमुनेः,पश्यतः मुनेः,visarga
2.69.2,यस्याञ्जाग्रति,यस्याम् जाग्रति,consonant
2.69.1,सर्वभूतानान्तस्याञ्जागर्ति,सर्वभूतानाम् तस्याम् जागर्ति,consonant
2.70.6,सशान्तिमाप्नोति,सः शान्तिम् आप्नोति,consonant
2.70.5,यम्प्रविशन्ति,यम् प्रविशन्ति,consonant
2.70.4,तद्वत्कामा,तत् वत् कामा,consonant
2.70.3,यद्वत्,यत् वत्,consonant
2.70.2,समुद्रमापः,समुद्रम् आपः,consonant
2.70.1,आपूर्यमाणमचलप्रतिष्ठम्,आपूर्यमाणम् अचलप्रतिष्ठम्,consonant
2.71.5,सशान्तिमधिगच्छति,सः शान्तिम् अधिगच्छति,consonant
2.71.4,निर्ममोनिरहङ्कारः,निः ममः निः अहङ्कारः,visarga
2.71.3,निस्स्पृहः,निः स्पृहः,visarga
2.71.2,पुमांश्चरति,पुमान् चरति,consonant
2.71.1,कामान्यः,कामान् यः,consonant
2.72.3,ब्रह्मनिर्वाणमृच्छति,ब्रह्मनिर्वाणम् ऋच्छति,consonant
2.72.2,स्थित्वास्यामन्तकालेऽपि,स्थित्वा अस्याम् अन्तकाले अपि,consonant
2.72.1,नैनांप्राप्य,न एनाम् प्राप्य,consonant
2.73.3,द्वितीयोऽध्यायः,द्वितीयः अध्यायः,visarga
2.73.2,श्रीकृष्णार्जुनसंवादे,श्रीकृष्ण अर्जुनसंवादे,consonant
2.73.1,श्रीमद्भगवद्गीतासु,श्रीमत् भगवत् गीतासु,consonant
2,द्वितीयोऽध्यायः,द्वितीयः अध्यायः,visarga
3.1.4,मांनियोजयसि,माम् नियोजयसि,consonant
3.1.3,बुद्धिर्जनार्दन,बुद्धिः जन अर्दन,consonant
3.1.2,कर्मणस्ते,कर्मणः ते,visarga
3.1.1,अर्जुनउवाच,अर्जुनः उवाच,visarga
3.2.4,श्रेयोऽहमाप्नुयाम्,श्रेयः अहम् आप्नुयाम्,consonant
3.2.3,तदेकंवद,तत् एकम् वद,consonant
3.2.2,बुद्धिम्मोहयसीव,बुद्धिम् मोहयसि इव,consonant
3.2.1,व्यामिश्रेणेव,व्यामिश्रेण इव,vowel
3.3.4,साङ्ख्यानांकर्मयोगेन,साङ्ख्यानाम् कर्मयोगेन,consonant
3.3.3,मयानघ,मया अनघ,vowel
3.3.2,लोकेऽस्मिन्,लोके अस्मिन्,vowel
3.3.1,श्रीभगवानुवाच,श्रीभगवान् उवाच,consonant
3.4.3,सिद्धिंसमधिगच्छति,सिद्धिम् समधिगच्छति,consonant
3.4.2,सन्न्यसनादेव,सन्न्यसनात् एव,consonant
3.4.1,कर्मणामनारम्भान्नैष्कर्म्यंपुरुषोऽश्नुते,कर्मणाम् अनारम्भात् नैष्कर्म्यम् पुरुषः अश्नुते,consonant
3.5.4,प्रकृतिजैर्गुणैः,प्रकृतिजैः गुणैः,visarga
3.5.3,ह्यवशः,हि अवशः,vowel
3.5.2,तिष्ठत्यकर्मकृत्,तिष्ठति अकर्मकृत्,vowel
3.5.1,कश्चित्क्षणमपि,कः चित् क्षणम् अपि,consonant
3.6.5,सउच्यते,सः उच्यते,visarga
3.6.4,मिथ्याचारः,मिथ्या आचारः,vowel
3.6.3,इन्द्रियार्थान्विमूढात्मा,इन्द्रियार्थान् विमूढात्मा,consonant
3.6.2,यआस्ते,यः आस्ते,visarga
3.6.1,कर्मेन्द्रियाणि,कर्म इन्द्रियाणि,vowel
3.7.4,सविशिष्यते,सः विशिष्यते,visarga
3.7.3,कर्मयोगमसक्तः,कर्मयोगम् असक्तः,consonant
3.7.2,नियम्यारभतेऽर्जुन,नियम्य आरभते अर्जुन,vowel
3.7.1,यस्त्विन्द्रियाणि,यः तु इन्द्रियाणि,consonant
3.8.5,प्रसिद्ध्येदकर्मणः,प्रसिद्ध्येत् अकर्मणः,consonant
3.8.4,शरीरयात्रापि,शरीरयात्रा अपि,consonant
3.8.3,ज्यायोह्यकर्मणः,ज्यायः हि अकर्मणः,consonant
3.8.2,त्वंकर्म,त्वम् कर्म,consonant
3.8.1,नियतङ्कुरु,नियतम् कुरु,consonant
3.9.4,समाचर,सम् आचर,consonant
3.9.3,तदर्थङ्कर्म,तत् अर्थम् कर्म,consonant
3.9.2,लोकोऽयंकर्मबन्धनः,लोकः अयम् कर्मबन्धनः,consonant
3.9.1,यज्ञार्थात्कर्मणोऽन्यत्र,यज्ञ अर्थात् कर्मणः अन्यत्र,consonant
3.10.3,वोऽस्त्विष्टकामधुक्,वः अस्तु इष्टकामधुक्,consonant
3.10.2,प्रसविष्यध्वमेषः,प्रसविष्यध्वम् एषः,consonant
3.10.1,पुरोवाच,पुरा उवाच,vowel
3.11.4,परमवाप्स्यथ,परम् अव आप्स्यथ,consonant
3.11.3,परस्परम्भावयन्तः,परः परम् भावयन्तः,consonant
3.11.2,देवाभावयन्तु,देवाः भावयन्तु,visarga
3.11.1,देवान्भावयतानेन,देवान् भावयत अनेन,consonant
3.12.3,तैर्दत्तानप्रदायैभ्योयोभुङ्क्ते,तैः दत्तान् अप्रदाय एभ्यः यः भुङ्क्ते,consonant
3.12.2,वोदेवादास्यन्ते,वः देवाः दास्यन्ते,visarga
3.12.1,इष्टान्भोगान्हि,इष्टान् भोगान् हि,consonant
3.13.3,पचन्त्यात्मकारणात्,पचन्ति आत्मकारणात्,consonant
3.13.2,त्वघंपापाये,तु अघम् पापा ये,consonant
3.13.1,सन्तोमुच्यन्ते,सन्तः मुच्यन्ते,visarga
3.14.5,कर्मसमुद्भवः,कर्मसम् उद्भवः,consonant
3.14.4,पर्जन्योयज्ञः,पर्जन्यः यज्ञः,visarga
3.14.3,यज्ञाद्भवति,यज्ञात् भवति,consonant
3.14.2,पर्जन्यादन्नसम्भवः,पर्जन्यात् अन्नसम्भवः,consonant
3.14.1,अन्नाद्भवन्ति,अन्नात् भवन्ति,consonant
3.15.5,प्रतिष्ठितम्,प्रति स्थितम्,consonant
3.15.4,नित्यंयज्ञे,नित्यम् यज्ञे,consonant
3.15.3,तस्मात्सर्वगतम्ब्रह्म,तस्मात् सर्वगतम् ब्रह्म,consonant
3.15.2,ब्रह्माक्षरसमुद्भवम्,ब्रह्म अक्षर सम् उद्भवम्,consonant
3.15.1,ब्रह्मोद्भवम्,ब्रह्म उद्भवम्,vowel
3.16.3,सजीवति,सः जीवति,visarga
3.16.2,अघायुरिन्द्रियारामोमोघम्पार्थ,अघायुः इन्द्रिय आरामः मोघम् पार्थ,consonant
3.16.1,एवम्प्रवर्तितञ्चक्रंनानुवर्तयतीह,एवम् प्रवर्तितम् चक्रम् न अनुवर्तयती इह,consonant
3.17.5,कार्यन्न,कार्यम् न,consonant
3.17.4,सन्तुष्टस्तस्य,सन्तुष्टः तस्य,visarga
3.17.3,आत्मन्येव,आत्मनि एव,vowel
3.17.2,स्यादात्मतृप्तश्च,स्यात् आत्मतृप्तः च,consonant
3.17.1,यस्त्वात्मरतिरेव,यः तु आत्मरतिः एव,consonant
3.18.5,कश्चिदर्थव्यपाश्रयः,कः चित् अर्थव्यप आश्रयः,consonant
3.18.4,चास्य,च अस्य,vowel
3.18.3,कश्चन,कः चन,visarga
3.18.2,कृतेनार्थोनाकृतेनेह,कृतेन अर्थः न अकृतेन इह,consonant
3.18.1,नैव,न एव,vowel
3.19.5,परमाप्नोति,परम आप्नोति,vowel
3.19.3,समाचर,सम् आचर,consonant
3.19.2,सततङ्कार्यङ्कर्म,सततम् कार्यम् कर्म,consonant
3.19.1,तस्मादसक्तः,तस्मात् असक्तः,consonant
3.19..4,असक्तोह्याचरन्कर्म,असक्तः हि आचरन् कर्म,consonant
3.20.5,सम्पश्यन्कर्तुमर्हसि,सम्पश्यन् कर्तुम् अर्हसि,consonant
3.20.4,लोकसङ्ग्रहमेवापि,लोकसम् ग्रहम् एव अपि,consonant
3.20.3,जनकादयः,जनक आदयः,vowel
3.20.2,संसिद्धिमास्थिता,सम् सिद्धिम् आस्थिता,consonant
3.20.1,कर्मणैव,कर्मणा एव,vowel
3.21.4,लोकस्तदनुवर्तते,लोकः तत् अनुवर्तते,consonant
3.21.3,सयत्प्रमाणङ्कुरुते,सः यत् प्रमाणम् कुरुते,consonant
3.21.2,श्रेष्ठस्तत्तदेवेतरोजनः,श्रेष्ठः तत् तत् एव इतरः जनः,consonant
3.21.1,यद्यदाचरति,यत् यत् आचरति,consonant
3.22.4,नानवाप्तमवाप्तव्यंवर्तएव,न अन् अवाप्तम् अवाप्तव्यम् वर्तः एव,consonant
3.22.3,किञ्चन,किम् चन,consonant
3.22.2,कर्तव्यन्त्रिषु,कर्तव्यम् त्रिषु,consonant
3.22.1,पार्थास्ति,पार्थ अस्ति,vowel
3.23.4,वर्त्मानुवर्तन्ते,वर्त्म अनुवर्तन्ते,vowel
3.23.3,कर्मण्यतन्द्रितः,कर्मणि अतन्द्रितः,vowel
3.23.2,वर्तेयंजातु,वर्तेयम् जातु,consonant
3.23.1,ह्यहंन,हि अहम् न,consonant
3.24.5,स्यामुपहन्यामिमाः,स्याम् उपहन्याम् इमाः,consonant
3.24.4,चेदहम्,चेत् अहम्,consonant
3.24.3,कुर्याङ्कर्म,कुर्याम् कर्म,consonant
3.24.2,लोकान,लोकाः न,visarga
3.24.1,उत्सीदेयुरिमे,उत्सीदेयुः इमे,visarga
3.25.2,कुर्याद्विद्वांस्तथासक्तश्चिकीर्षुर्लोकसङ्ग्रहम्,कुर्यात् विद्वान् तथा असक्तः चिकीर्षुः लोकसङ्ग्रहम्,consonant
3.25.1,कर्मण्यविद्वांसोयथा,कर्मणि अविद्वांसः यथा,consonant
3.26.4,समाचरन्,सम् आचरन्,consonant
3.26.3,विद्वान्युक्तः,विद्वान् युक्तः,consonant
3.26.2,जोषयेत्सर्वकर्माणि,जोषयेत् सर्वकर्माणि,consonant
3.26.1,बुद्धिभेदञ्जनयेदज्ञानाङ्कर्मसङ्गिनाम्,बुद्धिभेदम् जनयेत् अज्ञानाम् कर्मसङ्गिनाम्,consonant
3.27.2,कर्ताहमिति,कर्ता अहम् इति,consonant
3.27.1,अहङ्कारविमूढात्मा,अहङ्कारविमूढ आत्मा,consonant
3.28.3,गुणागुणेषु,गुणाः गुणेषु,visarga
3.28.2,महाबाहोगुणकर्मविभागयोः,महाबाहः गुणकर्मविभागयोः,consonant
3.28.1,तत्त्ववित्तु,तत्त्वविद् तु,consonant
3.29.2,तानकृत्स्नविदोमन्दान्कृत्स्नविन्न,तान् अकृत्स्नविदः मन्दान् कृत्स्नविद् न,consonant
3.29.1,प्रकृतेर्गुणसम्मूढाः,प्रकृतेः गुणसम्मूढाः,consonant
3.30.2,निराशीर्निर्ममोभूत्वा,निराशीः निर्ममः भूत्वा,visarga
3.30.1,सन्न्यस्याध्यात्मचेतसा,सन्न्यस्य अध्यात्मचेतसा,consonant
3.31.3,तेऽपि,ते अपि,vowel
3.31.2,श्रद्धावन्तोऽनसूयन्तोमुच्यन्ते,श्रद्धावन्तः अन् असूयन्तः मुच्यन्ते,consonant
3.31.1,मतमिदन्नित्यमनुतिष्ठन्ति,मतम् इदम् नित्यम् अनुतिष्ठन्ति,consonant
3.32.3,नष्टानचेतसः,नष्टान् अचेतसः,consonant
3.32.2,सर्वज्ञानविमूढांस्तान्,सर्वज्ञानविमूढान् तान्,consonant
3.32.1,त्वेतदभ्यसूयन्तोनानुतिष्ठन्ति,तु एतत् अभि असूयन्तः न अनुतिष्ठन्ति,consonant
3.33.4,किङ्करिष्यति,किम् करिष्यति,consonant
3.33.3,प्रकृतिंयान्ति,प्रकृतिम् यान्ति,consonant
3.33.2,प्रकृतेर्ज्ञानवानपि,प्रकृतेः ज्ञानवान् अपि,consonant
3.33.1,सदृशञ्चेष्टते,सदृशम् चेष्टते,consonant
3.34.4,ह्यस्य,हि अस्य,vowel
3.34.3,वशमागच्छेत्तौ,वशम् आगच्छेत् तौ,consonant
3.34.2,तयोर्न,तयोः न,visarga
3.34.1,इन्द्रियस्येन्द्रियस्यार्थे,इन्द्रियस्य इन्द्रियस्य अर्थे,vowel
3.35.4,परधर्मोभयावहः,परधर्मः भय आवहः,consonant
3.35.3,निधनंश्रेयः,निधनम् श्रेयः,consonant
3.35.2,परधर्मात्स्वनुष्ठितात्,परधर्मात् सु अनुष्ठितात्,consonant
3.35.1,श्रेयान्स्वधर्मोविगुणः,श्रेयान् स्वधर्मः विगुणः,consonant
3.36.4,बलादिव,बलात् इव,consonant
3.36.3,अनिच्छन्नपि,अन् इच्छन् अपि,consonant
3.36.2,प्रयुक्तोऽयंपापञ्चरति,प्रयुक्तः अयम् पापम् चरति,consonant
3.36.1,अर्जुनउवाच,अर्जुनः उवाच,visarga
3.37.4,विद्ध्येनमिह,विद्धि एनम् इह,consonant
3.37.3,महाशनोमहापाप्मा,महा अशनः महापाप्मा,consonant
3.37.2,कामएषक्रोधएषरजोगुणसमुद्भवः,कामः एषः क्रोधः एषः रजः गुणसम् उद्भवः,consonant
3.37.1,श्रीभगवानुवाच,श्रीभगवान् उवाच,consonant
3.38.4,तेनेदमावृतम्,तेन इदम् आवृतम्,consonant
3.38.3,यथोल्बेनावृतोगर्भः,यथा उल्बेन आवृतः गर्भः,consonant
3.38.2,वह्निर्यथादर्शोमलेन,वह्निः यथा आदर्शः मलेन,consonant
